Name,Phone,URL,Square Feet Total,Neighborhood,Organization Type,Dominant Discipline,Year of Occupation,Rent vs Own,Age of Current Building,Length of Lease (Date), Year Organization Founded,Number of Past Facilities,Stages and Theaters,Stage & Theater Seats ,Gallery Space,Gallery Square Feet,ADA Compliant,Available Parking,Street Presence,Rental Space ,Alcohol Sales,Organization Mission,Funded by A&C,"Stability Index (5=very stable, 1=very uncertain)","Control Index (5=very in control, 1 = very out of control) ",Constituency over 50% one race,Specific Demographics and Community,Organization Leadership,Organization Artists,Closed Date,Closed?,Address,Location
Northwest Encaustic,(206) 291-7775,www.nwencaustic.com,800,West Seattle,N,Arts/Cultural Training or Education,2008,R,1965,,2008,0,0,12,Y,1200,Partial,5,Y,Y,N,,N,5,,,,,,,0,7150 44th Ave SW Seattle WA 98136,"(47.539026, -122.388536)"
The Tudor Choir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2225 Eastlake Ave E #103 Seattle WA 98102,"(47.639149000000003, -122.326256)"
Artech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2601 1st Ave Seattle WA 98121,"(47.615214999999999, -122.350227)"
10 Degrees,,www.10degreesseattle.com,750,Capitol Hill,N,Multi-use,2011,O,1970,,2011,0,0,0,N,0,N,0,Y,Y,Y,,N,5,,,,,,,0,1312 E Union St Seattle WA 98122,"(47.612904999999998, -122.31477)"
University of Washington Husky Union Building,(206) 543-8191,www.hub.washington.edu,262000,University District,Other,Multi-use,2012,Other,2012,,1949,1,1,392,N,0,Y,0,N,Y,N,,N,5,,,,,,,0,4001 West Stevens Way NE Seattle WA 98195,"(47.652168000000003, -122.306648)"
Mack 9 Music Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,212 Alaskan Way S #105A Seattle WA 98104,"(47.600380000000001, -122.335144)"
Seattle Metropolitan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1201 Western Ave Suite 425 Seattle WA 98101,"(47.605727999999999, -122.339195)"
Macha Monkey Productions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2222 2nd Ave #200 Seattle WA 98121,"(47.613483000000002, -122.344756)"
Senior Center of West Seattle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4217 SW Oregon St. Seattle WA 98116,"(47.562883999999997, -122.38584899999999)"
St. Clouds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1131 34th Ave Seattle WA 98122,"(47.612602000000003, -122.289642)"
Seattle Metropolitan Police Museum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,317 3rd Ave South Seattle WA 98104,"(47.599653000000004, -122.33026)"
The National Archives at Seattle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6125 Sand Point Way NE Seattle WA 98115,"(47.673091999999997, -122.26796)"
University of Washington Elisabeth C. Miller Library,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3501 Northeast 41st Street Seattle WA 98105,"(47.658408000000001, -122.290305)"
Image Journal,(206) 281-2988,www.imagejournal.org,1000,Queen Anne,Y,Visual,2001,Other,1980,,1989,2,0,0,N,,I don't know.,3,I don't know.,N,N,,N,5,,,,,,,0,3307 3rd Ave W Seattle WA 98119,"(47.649068999999997, -122.36089)"
The Stranger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1535 11th Ave (Third Floor) Seattle WA 98122,
The Seattle Times,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1000 Denny Way Seattle WA 98109,"(47.619053000000001, -122.336395)"
Ballard NW Senior Center,(206) 297-0403,www.BallardSeniorCenter.org,4200,Ballard,N,Multi-use,1973,Other,1953,,1973,0,0,0,N,,Y,12,Y,Y,Y,,N,5,,,,,,,0,5429 32nd NW Seattle WA 98107,"(47.668368999999998, -122.39866600000001)"
Seattle Weekly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,307 3rd Ave S Second Floor Seattle WA 98104,"(47.599701000000003, -122.33065000000001)"
Early Music Guild,(206) 325-7066,www.earlymusicguild.org,518,Eastlake,Y,Music,1995,R,1960,6/30/15,1978,2,0,0,N,,Y,2,N,N,Y,,Y,4,,,,,,,0,2366 Eastlake Ave E #325 Seattle WA 98102,"(47.641224999999999, -122.325897)"
Filipino American National Historical Society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,810 18th Ave #100 Seattle WA 98122,"(47.609490000000001, -122.308904)"
History House of Greater Seattle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,790 N 34th St Seattle WA 98103,"(47.649346999999999, -122.34807600000001)"
University of Washington Drama Library,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Room 145 Hutchinson Hall Seattle WA 98195,"(47.654193999999997, -122.30038500000001)"
Gasworks Gallery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3815 4th Ave NE Seattle WA 98105,"(47.654293000000003, -122.324905)"
Unicorn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1118 E Pike St Seattle WA 98122,"(47.614125000000001, -122.317716)"
Pony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1221 E Madison St Seattle WA 98122,"(47.613078999999999, -122.315788)"
University Heights Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5031 University Way NE Seattle WA 98105,"(47.665829000000002, -122.313675)"
The Bush School Speaker Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"3400 East Harrison St Seattle, WA 98112","(47.622829000000003, -122.28698)"
Neighbours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"1509 Broadway, Seattle WA 98122","(47.614395000000002, -122.321198)"
Julia's on Broadway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,300 Broadway East Seattle WA 98102,"(47.621319, -122.32054100000001)"
"Igimo Art Station, LLC",(206) 760-3797,www.igimo.com,632,Columbia City,N,Arts/Cultural Training or Education,2015,R,1960,2016,2014,1,0,0,I don't know.,0,Y,2,Y,N,I don't know.,,N,5,,,,,,,,"4739 Rainier Ave S, Seattle, WA 98118","(47.559562999999997, -122.286736)"
University of Washington Q Center,(206) 897-1430,www.qcenter.washington.edu,1100,University District,Y,Arts/Cultural Training or Education,2012,Other,1949,,2004,2,0,0,N,0,Y,0,N,Y,N,,N,5,,,,,,,0,"HUB 315, University of Washington, Seattle, WA 98195","(47.650348999999999, -122.307216)"
Brass Tacks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6031 Airport Way S Seattle WA 98108,"(47.548977000000001, -122.31663)"
University of Washington Gallagher Law Library,(206) 543-4089,www.lib.law.washington.edu/,68000,University District,Other,Preservation,2003,O,2003,,1899,3,0,0,Y,500,Y,3,Y,I don't know.,N,,I don't know.,5,,,,,,,0,"University of Washington Box 353025 Seattle, WA 98195","(47.656205999999997, -122.312972)"
Cuff Complex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1533 13th Avenue Seattle WA 98122,"(47.614559999999997, -122.315534)"
Seattle Eagle Tavern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,"(47.614322999999999, -122.327164)"
Radio Variedades KXPA 1540 AM,(206) 571-3485,www.kxpa.com,1640,Leschi,N,Music,2003,R,1954,2019,1997,1,0,0,0,0,I don't know.,20,N,N,N,,I don't know.,3,,,,,,,0,"114 LakeSide Ave S Seattle, WA 98122","(47.601443000000003, -122.28545)"
Cafe Nordo,(206) 579-6215,www.cafenordo.com,4100,Pioneer Square,Y,Performance,2015,R,1890,3/1/25,2009,4,1,72,N,,Y,0,Y,Y,Y,,Y,5,,,,,,,0,109 S. Main St Seattle WA 98104,"(47.60004, -122.333781)"
Seattle ReCreative,(206) 659-9383,www.seattlerecreative.org,2250,Greenwood,Y,Arts/Cultural Training or Education,2014,R,1940,2017,2014,0,0,0,Y,15,Partial,0,Y,Y,Y,,"We have been, but are not currently.",4,,,,,,,0,8408 Greenwood Ave N Seattle WA 98103,"(47.690173999999999, -122.354958)"
Circle of Art Studios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2821 Thorndyke Ave W Seattle WA 98199,"(47.645465999999999, -122.38305699999999)"
Rainier Valley Historical Society,(206) 723-1663,www.rainiervalleyhistory.org,300,Rainier Valley,Y,Heritage,2007,R,1908,,1993,2,0,0,N,0,Y,0,Y,N,N,,Y,4,,,,,,,0,3710 S Ferdinand Seattle WA 98118,"(47.557859999999998, -122.285888)"
The Curious Nest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2916 NE 55th St Seattle WA 98105,"(47.668776999999999, -122.295395)"
Purlieu Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,102 S Jackson St Seattle WA 98104,"(47.599220000000003, -122.33391899999999)"
Magnolia Community Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2550 34th Ave W Seattle WA 98199,"(47.644508000000002, -122.399582)"
Northgate Community Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10510 5th Ave NE Seattle WA 98125,"(47.705193000000001, -122.32242599999999)"
Ravenna-Eckstein Community Center & Yesler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,917 E Yesler Way Seattle WA 98122,"(47.601714999999999, -122.320429)"
Music4Life,(206) 409-3275,www.music4life.org,500,Queen Anne,Y,Arts/Cultural Training or Education,2013,R,2005,It's month to month.,2007,1,0,0,N,0,Y,1,N,N,N,,N,3,,,,,,,0,422 1st Ave W #101 Seattle WA 98199,"(47.622452000000003, -122.358414)"
Nupasa Art Studio & Gallery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5539 Airport Way S Seattle WA 98108,"(47.552562000000002, -122.320193)"
Green Lake Community Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7201 East Green Lake Dr N Seattle WA 98115,"(47.680391, -122.32588800000001)"
Meadowbrook Community Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10517 35th Ave NE Seattle WA 98125,"(47.705250999999997, -122.29085600000001)"
Queen Anne Community Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1901 1st Ave W Seattle WA 98119,"(47.635508999999999, -122.359505)"
South Park Neighborhood and Senior Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8201 10th Ave S Seattle WA 98108,"(47.529578999999998, -122.32051800000001)"
Moonphoto,(206) 783-3377,www.moonphotolab.com,1500,Greenwood,N,Visual,1974,R,1926,2016,1974,1,0,0,Y,180,I don't know.,2,Y,N,N,,N,4,,,,,,,0,7704 Greenwood Ave. N. Seattle WA 98103,"(47.684927000000002, -122.35530799999999)"
ArtHouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2334 Elliott Ave. Seattle WA 98121,"(47.612782000000003, -122.348907)"
Prole Drift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,523 S. Main St Seattle WA 98104,"(47.600043999999997, -122.327248)"
Voda Studios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1050 W Nickerson St Seattle WA 98119,"(47.654404, -122.37099600000001)"
SoDo MakerSpace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1914 Occidental Ave S Seattle WA 98134,"(47.585332999999999, -122.33327)"
Calypte Gallery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1107 East Denny Way #A2 Seattle WA 98122,"(47.618586999999998, -122.317818)"
Bonfire at Panama Hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,603 South Main Street Seattle WA 98104,"(47.600029999999997, -122.32610200000001)"
One Reel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,215 6th Ave N Seattle WA 98109,"(47.619993999999998, -122.345018)"
NW Work Lofts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3131 Western Ave #419 Seattle WA 98121,"(47.618248000000001, -122.35742999999999)"
Lightbank Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2200 N Pacific St Seattle WA 98103,"(47.649366999999998, -122.332294)"
The Factory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1216 10th Ave Seattle WA 98122,"(47.612338000000001, -122.319368)"
Jefferson Community Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3801 Beacon Ave S Seattle WA 98108,"(47.569634000000001, -122.307473)"
Greg Thompson Productions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,921 Elliott Ave W Seattle WA 98119,"(47.627329000000003, -122.36935)"
Scarecrow Video,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5030 Roosevelt Way NE Seattle WA 98105,"(47.66592, -122.31708500000001)"
Urban Work Lofts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,918 S Horton St Seattle WA 98134,"(47.574190000000002, -122.32115400000001)"
Kobo at Hibo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,604 S Jackson St Seattle WA 98104,"(47.599201999999998, -122.326082)"
The Alice Gallery,(206) 853-9124,www.thealicegallery.com,600,Georgetown,Other,Visual,2015,R,1904,2/1/16,2015,0,0,0,Y,600,I don't know.,0,N,N,N,,N,4,,,,,,,0,6007 12th Ave South Seattle WA 98108 ï»¿,"(47.548884999999999, -122.31759599999999)"
Mainframe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5628 Airport Way S #110 Seattle WA 98108,"(47.551844000000003, -122.319481)"
Alki Community Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5817 SW Stevens St Seattle WA 98116,"(47.577271000000003, -122.407364)"
IsGood Woodworks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"4660 E Marginal Way S #7 Seattle, WA 98134","(47.560592999999997, -122.33867600000001)"
The Lofts at 325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,325 Westlake Ave N Seattle WA 98109,"(47.621704000000001, -122.33886)"
Seattle Creative Arts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2601 NW Market St Seattle WA 98107,"(47.668377, -122.390541)"
Veronica Mt Baker Lofts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"2915 Rainer Avenue South, Suite 12B Seattle WA 98144","(47.577168, -122.297668)"
Bitter Lake Community Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,13035 Linden Ave N Seattle WA 98133,"(47.724469999999997, -122.348)"
Montlake Community Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1618 E Calhoun St Seattle WA 98112,"(47.643752999999997, -122.309258)"
High Point Community Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6920 34th Ave SW Seattle WA 98126,"(47.540236999999998, -122.37336000000001)"
Gallery Frames,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,625 1st Ave #100 Seattle WA 98104,"(47.602364000000001, -122.33459499999999)"
Artspace Mt Baker Lofts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2915 Rainier Avenue S Seattle WA 98144,"(47.577168, -122.297668)"
Earl Harper Studios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5531 Airport Way S Seattle WA 98108,"(47.552368000000001, -122.320488)"
Bahia In Motion,(206) 819-3334,www.bahiainmotion.com,1250,Fremont,N,Arts/Cultural Training or Education,2008,R,1920,2018-2020,2008,2,0,0,Y,300,N,1,Y,Y,N,,N,4,,,,,,,0,418 N 35th St Seattle WA 98103,"(47.651470000000003, -122.3536)"
REDred Photo School & Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,815 Seattle Blvd S Seattle WA 98134,"(47.595512999999997, -122.32713200000001)"
Garfield Community Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2323 E Cherry St Seattle WA 98122,"(47.60801, -122.30234900000001)"
ID/Chinatown Community Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,719 8th Ave S Seattle WA 98104,"(47.596418999999997, -122.322446)"
Miller Community Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,330 19th Ave E Seattle WA 98112,"(47.621687999999999, -122.307328)"
Van Asselt Community Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2820 S Myrtle St Seattle WA 98108,"(47.539444000000003, -122.294067)"
Interstitial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"6007 12th Ave South 3rd Floor Seattle, WA 98108","(47.548884999999999, -122.31759599999999)"
Laurelhurst Community Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4554 NE 41st St Seattle WA 98105,"(47.659863000000001, -122.278038)"
Magnuson Community Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7110 62nd Ave NE Seattle WA 98115,"(47.680641999999999, -122.26227)"
Delridge Community Center & Hiawatha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2700 California Ave SW Seattle WA 98116,"(47.579172999999997, -122.38663699999999)"
Addison on Fourth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,308 4th Ave S Seattle WA 98104,"(47.599777000000003, -122.328575)"
Bootstrap Music,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
Swedish Hospital Art Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,747 Broadway Seattle WA 98122,"(47.608968099999998, -122.3221023)"
Service League Harborview Medical Center Art Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,325 9th Ave Seattle WA 98104,"(47.604249000000003, -122.323564)"
BJ Montoya Violin Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
DeCajon Project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
Rainier Beach Community Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8825 Rainier Ave S Seattle WA 98118,"(47.524445, -122.2705)"
Da Projectz Music Recording Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"114 Alaskan Way South Suite 103 Seattle, WA 98104","(47.601211999999997, -122.33522000000001)"
Glass Eye Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,600 NW 40th Street Seattle WA 98107,"(47.656466999999999, -122.36412799999999)"
Parlor Live Seattle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1522 6th Ave Seattle WA 98101,"(47.611415000000001, -122.33477000000001)"
All Pilgrims Christian Church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500 Broadway E Seattle WA 98102,"(47.623359999999998, -122.320374)"
Martin Blank Studios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4407 6th Avenue Northwest Seattle WA 98107,"(47.661133, -122.36421199999999)"
New Century Theatre Company Offices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1515 12th Ave Seattle WA 98122,"(47.614429000000001, -122.31725299999999)"
Secret Garden Books,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2214 NW Market St Seattle WA 98107,"(47.668669999999999, -122.385491)"
South Park Community Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8319 8th Ave S Seattle WA 98108,"(47.528759999999998, -122.322873)"
Seattle PI/Hearst Media Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2901 3rd Ave Ste 120 Seattle WA 98121,"(47.618217000000001, -122.35183000000001)"
Three Dollar Bill Cinema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1122 E. Pike St. #1313 Seattle WA 98122,"(47.614272999999997, -122.317245)"
Tmrw Party,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
Tooth & Nail Records,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unique Art Framing & Gallery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3429 Airport Way South Seattle WA 98134,"(47.572744, -122.322579)"
School of Rock West Seattle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4701 41st Ave SW Suite 120 Seattle WA 98116,"(47.560926000000002, -122.38409799999999)"
South Seattle Community College Olympic Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6000 16th Avenue SW Seattle WA 98106,"(47.547234000000003, -122.351929)"
West Seattle Art Nest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4138 California Ave SW Seattle WA 98116,"(47.565379999999998, -122.386383)"
Temple of Cairo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,507 E Mercer Seattle WA 98102,"(47.624282000000001, -122.325052)"
University of Washington Engineering Library,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Engineering Building West Stevens Way NE Seattle WA 98195,"(47.654648999999999, -122.30454400000001)"
University of Washington Mathematics Research Library,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Padelford Hall University of Washington Seattle WA 98195,"(47.656968999999997, -122.304421)"
University of Washington Suzzallo Library,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4000 15th Avenue NE Seattle WA 98105,"(47.672222900000001, -122.31189120000001)"
University of Washington Physics Astronomy Reading Room (CLOSED),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3910 15th Ave NE Seattle WA 98105,"(47.65408, -122.312135)"
University of Washington East Asia Library,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"322 Gowen Hall, Seattle WA 98195","(47.656325099999997, -122.3076233)"
University of Washington Department of Architecture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Gould Hall Seattle WA 98195,"(47.656247399999998, -122.3092754)"
University of Washington Built Environment Library,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3549 15th Avenue NE Seattle WA 98105,"(47.668529999999997, -122.31189000000001)"
University of Washington Intellectual House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4249 Whitman Court (E Stevens Way and Whitman Court NE),"(47.658198599999999, -122.3042543)"
University of Washington Mary Gates Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Seattle WA 98195,"(47.657048000000003, -122.305271)"
University of Washington Social Work Library,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4101 15th Avenue NE Seattle WA 98105,"(47.656967000000002, -122.312055)"
University of Washington Art Library,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,101 Art Building University of Washington Seattle WA 98195,"(47.658180000000002, -122.306292)"
University of Washington Foster Business Library,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Paccar Hall West Stevens Way NE Seattle WA 98195,"(47.659126000000001, -122.308582)"
University of Washington Odegard Undergraduate Library,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4060 George Washington Lane NE Seattle WA 98195,"(47.656478999999997, -122.311352)"
Showbox at the Market,(206) 628-3151,www.showboxonline.com/market,10000,Downtown,N,Music,2007,R,1939,2024,2007,0,1,1130,N,0,Partial,0,Y,N,Y,,N,4,,,,,,,0,1426 1st Ave Seattle WA 98101,"(47.608494999999998, -122.339743)"
University of Washington Jacob Lawrence Gallery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Art Building Room 132 West Stevens Way NE Seattle WA 98105,"(47.658572200000002, -122.30654029999999)"
The Audio Connection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5621A University Way Northeast Seattle WA 98105,"(47.669975000000001, -122.313045)"
University of Washington Communications Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Seattle WA 98105,"(47.657048000000003, -122.305271)"
Studio Litho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,348 NW 54th St Seattle WA 98107,"(47.668137000000002, -122.36277800000001)"
Blessed Sacrament Church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5041 9th Ave NE Seattle WA 98105,"(47.665937999999997, -122.318411)"
St. Stephens Episcopal Church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4805 NE 45th St Seattle WA 98105,"(47.661064000000003, -122.275932)"
Glassbox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,831 Seattle Blvd S Seattle WA 98134,"(47.595058999999999, -122.326235)"
Leisure Books,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4537 California Ave SW Seattle WA 98116,"(47.562161000000003, -122.38679)"
C & P Coffee Company,(206) 933-3125,www.candpcoffee.com,2000,West Seattle,N,Literary,2004,R,1904,2020,2004,0,0,,Y,50,Y,3,N,N,Y,,N,2,,,,,,,0,5612 California Ave SW Seattle WA 98136,"(47.551660650000002, -122.3866496)"
Salsa Con Todo,(206) 402-2945,www.salsacontodo.com,1900,Fremont,N,Performance,2010,R,1999,10/1/15,2007,1,0,,N,,I don't know.,0,Y,N,N,,N,1,,,,,,,0,750 North 34th St Seattle WA 98103,"(47.649450899999998, -122.34810589999999)"
Ballard Community Center,(206) 684-4093,www.seattle.gov,100,Ballard,N,Community Center,1980,O,1980,,1980,1,0,,I don't know.,,Partial,25,I don't know.,Y,N,,N,3,,,,,,,0,6020 28th Avenue NW Seattle WA 98115,"(47.672783000000003, -122.391548)"
Linda Hodges Gallery,(206) 624-3034,www.lindahodgesgallery.com,2500,Pioneer Square,N,Visual,1956,R,1925,,1983,2,0,,Y,2500,I don't know.,0,Y,N,N,,N,5,,,,,,,0,316 1st Ave S Seattle WA 98146,"(47.599457000000001, -122.333794)"
Seattle Music Partners,(206) 409-2535,www.seattlemusicpartners.org,1000,Central District,Y,Music,2000,Other,1950,,2000,2,0,,N,,Y,0,Y,I don't know.,N,,N,2,,,,,,,0,4533 Sunnyside Ave. N. Seattle WA 98103,"(47.662433999999998, -122.3304744)"
Seattle JazzED at MLK Fame Community Center,(206) 324-5299,www.seattlejazzed.org,30000,Madison Valley,Y,Music,1923,R,1915,10/15/16,2010,1,1,200,N,,Y,20,Y,Y,N,,Y,5,,,,,,,0,3201 E. Republican St Seattle WA 98112,"(47.622941150000003, -122.2907778)"
Seattle's Performers LLC,(206) 473-9580,www.seattleslittlestperformers.com,850,University District,N,Arts/Cultural Training or Education,2014,R,1956,2016,2010,1,0,,I don't know.,,Partial,0,I don't know.,Y,N,,N,4,,,,,,,0,5214 University Way NE Seattle WA 98105,"(47.666904099999996, -122.3127673)"
Jet City Improv,(206) 352-8291,www.jetcityimprov.org,4250,University District,Y,Performance,2003,R,1937,No date.,1992,3,1,132,N,,Y,1,Y,Y,Y,,Y,5,,,,,,,0,5510 University Way NE Seattle WA 98105,"(47.668869399999998, -122.3126674)"
"Chop Suey, LLC.",(206) 538-0556,www.chopsuey.com,4957,Capitol Hill,N,Music,2015,O,1923,,2015,0,1,,N,,Y,0,N,N,Y,,N,4,,,,,,,0,1325 E Madison St Seattle WA 98122,"(47.613486899999998, -122.31444329999999)"
SURF Incubator,(206) 777-1177,www.surfincubator.com,22000,Downtown,N,Performance,2014,R,1983,I don't know.,2012,1,1,20,N,0,I don't know.,100,N,Y,N,,N,4,,,,,,,0,999 3rd Ave Suite 700 Seattle WA 98104,"(47.605034000000003, -122.334244)"
North Seattle Chamber of Commerce/Lake City Community Center,(206) 363-3287,www.lccommunitycenter.org,11000,Lake City Way,Y,Multi-use,2013,R,1944,12/31/17,2013,0,0,,N,,N,30,Y,Y,N,,N,4,,,,,,,0,12531 28th Ave. NE Seattle WA 98125,"(47.720379299999998, -122.2979988)"
SURFincubator II,(206) 777-1177,www.surfincubator.com,1800,Downtown,N,Multi-use,1990,R,1980,2023,2007,2,1,150,Y,80,Y,0,N,Y,Y,,N,5,,,,,,,0,999 3rd Ave Suite700 Seattle WA 98104,"(47.605034000000003, -122.334244)"
